hsk,characters,pinyin,english,extra,len,c1,c2,p1,p2,pinyin_num
5,竹子,zhúzi,"bamboo; CL:棵[ke1],支[zhi1],根[gen1]",,2,竹,子,zhu2,zi5,zhu2 zi5
5,煮,zhǔ,to cook; to boil,,1,煮,,zhu3,,zhu3
6,拄,zhǔ,to lean on; to prop on,,1,拄,,zhu3,,zhu3
6,主办,zhǔbàn,to organize; to host (a conference or sports event),,2,主,办,zhu3,ban4,zhu3 ban4
5,主持,zhǔchí,to take charge of; to manage or direct; to preside over; to uphold; to stand for (eg justice); to host (a TV or radio program etc),,2,主,持,zhu3,chi2,zhu3 chi2
6,主导,zhǔdǎo,to lead; to manage,,2,主,导,zhu3,dao3,zhu3 dao3
4,主动,zhǔdòng,to take the initiative; to do sth of one\'s own accord; active; opposite: passive 被動|被动[bei4 dong4]; drive (of gears and shafts etc),,2,主,动,zhu3,dong4,zhu3 dong4
5,嘱咐,zhǔfù,to tell; to exhort; injunction,,2,嘱,咐,zhu3,fu4,zhu3 fu4
5,主观,zhǔguān,subjective,,2,主,观,zhu3,guan1,zhu3 guan1
6,主管,zhǔguǎn,in charge; responsible for,,2,主,管,zhu3,guan3,zhu3 guan3
6,主流,zhǔliú,main stream (of a river); fig. the essential point; main viewpoint of a matter,,2,主,流,zhu3,liu2,zhu3 liu2
6,主权,zhǔquán,sovereignty,,2,主,权,zhu3,quan2,zhu3 quan2
5,主人,zhǔrén,master; host; CL:個|个[ge4],,2,主,人,zhu3,ren2,zhu3 ren2
6,主题,zhǔtí,theme; subject,,2,主,题,zhu3,ti2,zhu3 ti2
5,主席,zhǔxí,"chairperson; premier; chairman; CL:個|个[ge4],位[wei4]",,2,主,席,zhu3,xi2,zhu3 xi2
3,主要,zhǔyào,main; principal; major; primary,,2,主,要,zhu3,yao4,zhu3 yao4
4,主意,zhǔyi,plan; idea; decision; CL:個|个[ge4],,2,主,意,zhu3,yi5,zhu3 yi5
5,主张,zhǔzhāng,to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion; CL:個|个[ge4],,2,主,张,zhu3,zhang1,zhu3 zhang1
1,住,zhù,to live; to dwell; to stay; to reside; to stop,,1,住,,zhu4,,zhu4
3,祝,zhù,invoke; pray to; wish; to express good wishes; surname Zhu,,1,祝,,zhu4,,zhu4
5,注册,zhùcè,to register; to enroll,,2,注,册,zhu4,ce4,zhu4 ce4
5,祝福,zhùfú,blessings; wish well,,2,祝,福,zhu4,fu2,zhu4 fu2
4,祝贺,zhùhè,to congratulate; congratulations; CL:個|个[ge4],,2,祝,贺,zhu4,he4,zhu4 he4
6,助理,zhùlǐ,assistant,,2,助,理,zhu4,li3,zhu4 li3
4,著名,zhùmíng,famous; noted; well-known; celebrated,,2,著,名,zhu4,ming2,zhu4 ming2
6,注射,zhùshè,injection; to inject,,2,注,射,zhu4,she4,zhu4 she4
6,注视,zhùshì,to watch attentively; to gaze,,2,注,视,zhu4,shi4,zhu4 shi4
6,注释,zhùshì,marginal notes; annotation; to annotate; to add comments to text,,2,注,释,zhu4,shi4,zhu4 shi4
6,助手,zhùshǒu,assistant; helper,,2,助,手,zhu4,shou3,zhu4 shou3
3,注意,zhùyì,to take note of; to pay attention to,,2,注,意,zhu4,yi4,zhu4 yi4
6,铸造,zhùzào,to cast (pour metal into a mold),,2,铸,造,zhu4,zao4,zhu4 zao4
6,驻扎,zhùzhā,to station; to garrison (troops),,2,驻,扎,zhu4,zha1,zhu4 zha1
6,住宅,zhùzhái,residence; tenement,,2,住,宅,zhu4,zhai2,zhu4 zhai2
6,注重,zhùzhòng,to pay attention to; to emphasize,,2,注,重,zhu4,zhong4,zhu4 zhong4
6,著作,zhùzuò,to write; literary work; book; article; writings; CL:部[bu4],,2,著,作,zhu4,zuo4,zhu4 zuo4
5,抓紧,zhuājǐn,to grasp firmly; to pay special attention to; to rush in; to make the most of,,2,抓,紧,zhua1,jin3,zhua1 jin3
6,拽,yè,to drag; to haul,,1,拽,,zhuai4,,zhuai4
6,专长,zhuāncháng,specialty; special knowledge or ability,,2,专,长,zhuan1,chang2,zhuan1 chang2
6,专程,zhuānchéng,special-purpose trip,,2,专,程,zhuan1,cheng2,zhuan1 cheng2
5,专家,zhuānjiā,expert; specialist; CL:個|个[ge4],,2,专,家,zhuan1,jia1,zhuan1 jia1
6,专科,zhuānkē,specialized subject; branch (of medicine); specialized training school,,2,专,科,zhuan1,ke1,zhuan1 ke1
6,专利,zhuānlì,patent,,2,专,利,zhuan1,li4,zhuan1 li4
4,专门,zhuānmén,specialist; specialized; customized,,2,专,门,zhuan1,men2,zhuan1 men2
6,专题,zhuāntí,special topic,,2,专,题,zhuan1,ti2,zhuan1 ti2
6,砖瓦,zhuānwǎ,tiles and bricks,,2,砖,瓦,zhuan1,wa3,zhuan1 wa3
5,专心,zhuānxīn,to concentrate; absorption; concentration; engrossed,,2,专,心,zhuan1,xin1,zhuan1 xin1
4,专业,zhuānyè,"specialty; specialized field; main field of study (at university); major; CL:門|门[men2],個|个[ge4]; professional",,2,专,业,zhuan1,ye4,zhuan1 ye4
5,转变,zhuǎnbiàn,change; transform; CL:個|个[ge4],,2,转,变,zhuan3,bian4,zhuan3 bian4
6,转达,zhuǎndá,to pass on; to convey; to communicate,,2,转,达,zhuan3,da2,zhuan3 da2
5,转告,zhuǎngào,to pass on; to communicate; to transmit,,2,转,告,zhuan3,gao4,zhuan3 gao4
6,转让,zhuǎnràng,"transfer (technology, goods etc); conveyancing (property)",,2,转,让,zhuan3,rang4,zhuan3 rang4
6,转移,zhuǎnyí,to shift; to divert or distract (attention etc); to change; to transform; metastasis (medicine),,2,转,移,zhuan3,yi2,zhuan3 yi2
6,转折,zhuǎnzhé,shift in the trend of events; plot shift in a book; twists and turns,,2,转,折,zhuan3,zhe2,zhuan3 zhe2
4,赚,zhuàn,earn; make a profit,,1,赚,,zhuan4,,zhuan4
6,传记,zhuànjì,"biography; CL:篇[pian1],部[bu4]",,2,传,记,zhuan4,ji4,zhuan4 ji4
5,装,zhuāng,adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack,,1,装,,zhuang1,,zhuang1
6,装备,zhuāngbèi,equipment; to equip; to outfit,,2,装,备,zhuang1,bei4,zhuang1 bei4
5,装饰,zhuāngshì,to decorate; decoration; decorative; ornamental,,2,装,饰,zhuang1,shi4,zhuang1 shi4
6,装卸,zhuāngxiè,to load or unload; to transfer; to assemble and disassemble,,2,装,卸,zhuang1,xie4,zhuang1 xie4
6,庄严,zhuāngyán,stately,,2,庄,严,zhuang1,yan2,zhuang1 yan2
6,庄重,zhuāngzhòng,grave; solemn; dignified,,2,庄,重,zhuang1,zhong4,zhuang1 zhong4
6,幢,chuáng,tents; classifier for houses,,1,幢,,zhuang4,,zhuang4
4,撞,zhuàng,to hit; to strike; to meet by accident; to run into; to bump against; to bump into,,1,撞,,zhuang4,,zhuang4
6,壮观,zhuàngguān,spectacular; magnificent sight,,2,壮,观,zhuang4,guan1,zhuang4 guan1
5,状况,zhuàngkuàng,condition; state; situation; CL:個|个[ge4],,2,状,况,zhuang4,kuang4,zhuang4 kuang4
6,壮丽,zhuànglì,magnificence; magnificent; majestic; glorious,,2,壮,丽,zhuang4,li4,zhuang4 li4
6,壮烈,zhuàngliè,brave; heroic,,2,壮,烈,zhuang4,lie4,zhuang4 lie4
5,状态,zhuàngtài,state of affairs; state; mode; situation; CL:個|个[ge4],,2,状,态,zhuang4,tai4,zhuang4 tai4
6,追悼,zhuīdào,mourning; memorial (service etc),,2,追,悼,zhui1,dao4,zhui1 dao4
6,追究,zhuījiū,investigate; look into,,2,追,究,zhui1,jiu1,zhui1 jiu1
5,追求,zhuīqiú,to pursue (a goal etc) stubbornly; to seek after; to woo,,2,追,求,zhui1,qiu2,zhui1 qiu2
2,准备,zhǔnbèi,preparation; prepare,,2,准,备,zhun3,bei4,zhun3 bei4
4,准确,zhǔnquè,accurate; exact; precise,,2,准,确,zhun3,que4,zhun3 que4
4,准时,zhǔnshí,on time; punctual; on schedule,,2,准,时,zhun3,shi2,zhun3 shi2
6,准则,zhǔnzé,norm; standard; criterion,,2,准,则,zhun3,ze2,zhun3 ze2
1,桌子,zhuōzi,"table; desk; CL:張|张[zhang1],套[tao4]",,2,桌,子,zhuo1,zi5,zhuo1 zi5
6,琢磨,zhuómó,to carve and polish (jade); to polish and refine a literary work,,2,琢,磨,zhuo2,mo2,zhuo2 mo2
6,着手,zhuóshǒu,to put one\'s hand to it; to start out on a task; to set out,,2,着,手,zhuo2,shou3,zhuo2 shou3
6,着想,zhuóxiǎng,to give thought (to others); to consider (other people\'s needs),,2,着,想,zhuo2,xiang3,zhuo2 xiang3
6,卓越,zhuóyuè,distinction; excellence; outstanding; surpassing; distinguished; splendid,,2,卓,越,zhuo2,yue4,zhuo2 yue4
6,着重,zhuózhòng,put emphasis on; to stress; to emphasize,,2,着,重,zhuo2,zhong4,zhuo2 zhong4
6,资本,zīběn,capital (as in capitalism),,2,资,本,zi1,ben3,zi1 ben3
6,资产,zīchǎn,property; assets,,2,资,产,zi1,chan3,zi1 chan3
5,资格,zīgé,qualifications,,2,资,格,zi1,ge2,zi1 ge2
5,资金,zījīn,funds; funding; capital,,2,资,金,zi1,jin1,zi1 jin1
5,资料,zīliào,"material; resources; data; information; profile (Internet); CL:份[fen4],個|个[ge4]",,2,资,料,zi1,liao4,zi1 liao4
6,资深,zīshēn,senior (in terms of depth of accumulated experience); deeply qualified,,2,资,深,zi1,shen1,zi1 shen1
5,姿势,zīshì,posture; position,,2,姿,势,zi1,shi4,zi1 shi4
6,姿态,zītài,attitude; posture; stance,,2,姿,态,zi1,tai4,zi1 tai4
6,滋味,zīwèi,taste; flavor; feeling,,2,滋,味,zi1,wei4,zi1 wei4
5,咨询,zīxún,to consult; to seek advice; consultation; (sales) inquiry (formal),,2,咨,询,zi1,xun2,zi1 xun2
5,资源,zīyuán,natural resource (such as water or minerals); resource (such as manpower or tourism),,2,资,源,zi1,yuan2,zi1 yuan2
6,滋长,zīzhǎng,to grow (usually of abstract things); to yield; to develop,,2,滋,长,zi1,zhang3,zi1 zhang3
6,资助,zīzhù,to subsidize; to provide financial aid; subsidy,,2,资,助,zi1,zhu4,zi1 zhu4
5,紫,zǐ,purple; violet; amethyst; Lithospermum erythrorhizon (flowering plant whose root provides red purple dye); Japanese: murasaki,,1,紫,,zi3,,zi3
6,子弹,zǐdàn,"bullet; CL:粒[li4],顆|颗[ke1],發|发[fa1]",,2,子,弹,zi3,dan4,zi3 dan4
4,仔细,zǐxì,careful; attentive; cautious,,2,仔,细,zi3,xi4,zi3 xi4
1,字,zì,letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China,,1,字,,zi4,,zi4
